ID	Title	Artist	Genre	Filename
8	Contemplations of the Universe #1	Unknown Artist	EDM	118_pop_edm_funk_re-energize_remix_1.mp3
9	Contemplations of the Universe #2	Unknown Artist	Rock	118_rock_funk_1970s_remix_focus.mp3
11	Contemplations of the Universe #4	Unknown Artist	Unknown	2025-06-05_18_03_46_remix_1.mp3
12	Contemplations of the Universe #5	Unknown Artist	Unknown	2025-06-05_18_03_46_remix_2.mp3
13	Contemplations of the Universe #6	Unknown Artist	Unknown	2025-06-05_18_03_46_remix_3.mp3
15	Contemplations of the Universe #8	Unknown Artist	Unknown	23.3s_recording_may_28_12_23_pm_1.mp3
16	Contemplations of the Universe #9	Unknown Artist	Unknown	23.3s_recording_may_28_12_23_pm.mp3
17	Contemplations of the Universe #10	Unknown Artist	Funk	2_mixolydian_funk_re-energize_depression_remix.mp3
18	Contemplations of the Universe #11	Unknown Artist	Rock	3_way_tie_rock_instrumental_1970s_re-energize_remix_1.mp3
20	Contemplations of the Universe #13	Unknown Artist	Rock	5_spot_9_pm_classic_rock_re-energize_focus.mp3
21	Contemplations of the Universe #14	Unknown Artist	Unknown	ac039f51-64d7-449a-9c9f-2af7f5804302_remix.mp3
22	Contemplations of the Universe #15	Unknown Artist	Classical	a_dance_of_the_court_classical_remastered_remix_sleep.mp3
23	Contemplations of the Universe #16	Unknown Artist	Unknown	a_dance_of_the_court_renassaince_clavier_remastered_remix_sleep_60_bpm.mp3
26	Contemplations of the Universe #18	Unknown Artist	Unknown	a_dance_of_the_court_renassaince_lute_remastered_remix_sleep_2.mp3
27	Contemplations of the Universe #19	Unknown Artist	Unknown	a_dance_of_the_court_renassaince_lute_remastered_remix_sleep_3.mp3
28	Contemplations of the Universe #20	Unknown Artist	Unknown	a_dance_of_the_court_renassaince_lute_remastered_remix_sleep_48_bpm_1.mp3
29	Contemplations of the Universe #21	Unknown Artist	Unknown	a_dance_of_the_court_renassaince_lute_remastered_remix_sleep_4.mp3
30	Contemplations of the Universe #22	Unknown Artist	Unknown	a_dance_of_the_court_renassaince_lute_remastered_remix_sleep_5.mp3
31	Contemplations of the Universe #23	Unknown Artist	Unknown	a_dance_of_the_court_renassaince_lute_remastered_remix_sleep_7.mp3
32	Contemplations of the Universe #24	Unknown Artist	Unknown	a_dance_of_the_court_renassaince_lute_remastered_remix_sleep.mp3
33	classical reimagined, HIIT (2)	Adoration; EDM	Classical	adoration_edm_-_classical_reimagined_hiit_2.mp3
34	classical reimagined, HIIT	Adoration; EDM	Classical	adoration_edm_-_classical_reimagined_hiit.mp3
36	Jazz, Relaxation (1)	A Duet for Strings, American Songbook; Bluegrass	Jazz	a_duet_for_strings_american_songbook_bluegrass_-_jazz_relaxation_1.mp3
37	Big Band, Instrumental, Re-Energize	A Duet for Strings; Bluegrass	Unknown	a_duet_for_strings_bluegrass_-_big_band_instrumental_re-energize.mp3
38	Contemplations of the Universe #25	A Duet for Strings; Bluegrass	Unknown	a_duet_for_strings_bluegrass_-_big_band_instrumental_re-energize_remix.mp3
39	A Duet for Strings, Bluegrass, Instrumental, Relaxation (1)	Unknown Artist	Classical	a_duet_for_strings_bluegrass_instrumental_relaxation_1.mp3
40	A Duet for Strings, Bluegrass, Instrumental, Relaxation (2)	Unknown Artist	Classical	a_duet_for_strings_bluegrass_instrumental_relaxation_2.mp3
41	A Duet for Strings, Bluegrass, Instrumental, Relaxation (3)	Unknown Artist	Classical	a_duet_for_strings_bluegrass_instrumental_relaxation_3.mp3
42	A Duet for Strings, Bluegrass, Instrumental, Relaxation	Unknown Artist	Classical	a_duet_for_strings_bluegrass_instrumental_relaxation.mp3
44	Instrumental (1)	A Duet for Strings; Bluegrass, Instrumental; Relaxation (Remix)	Unknown	a_duet_for_strings_bluegrass_instrumental_relaxation_remix_-_instrumental_1.mp3
45	A Duet for Strings in NY, Jazz, Bluegrass, Instrumental, Relaxation	Unknown Artist	Jazz	a_duet_for_strings_in_ny_jazz_bluegrass_instrumental_relaxation.mp3
49	classical, HIIT (1)	Adulation; EDM	Classical	adulation_edm_-_classical_hiit_1.mp3
52	Aerie	Unknown Artist	Unknown	aerie.mp3
53	Contemplations of the Universe #28	Unknown Artist	Unknown	afire_of_joy_instrumental_re-energize._remix_1.mp3
54	Contemplations of the Universe #29	Unknown Artist	Unknown	afire_of_joy_instrumental_re-energize._remix.mp3
55	Contemplations of the Universe #30	Unknown Artist	Pop	african_grey_parrots_pop_instrumental_re-energize_remix_3_remix_1.mp3
56	Contemplations of the Universe #31	Unknown Artist	Pop	african_grey_parrots_pop_instrumental_re-energize_remix_3_remix.mp3
58	A Gentle Light Falls Upon My Lover's Brow, Baroque, Relaxation	Unknown Artist	Unknown	a_gentle_light_falls_upon_my_lovers_brow_baroque_relaxation.mp3
90	a mandolin and a ukelele meet at a bar	Unknown Artist	Unknown	a_mandolin_and_a_ukelele_meet_at_a_bar.mp3
92	a mandolin and a ukelele meet at a concert 	Unknown Artist	Unknown	a_mandolin_and_a_ukelele_meet_at_a_concert_.mp3
106	An Elvin Wedding_ Instrumental, Relaxation, Pain	Unknown Artist	Unknown	An Elvin Wedding_ Instrumental, Relaxation, Pain .mp3
107	An Embrace in The Night, Instrumental Classic Roots Rock, Re-Energize, 118 BPM (2) (1)	Unknown Artist	Rock	an_embrace_in_the_night_instrumental_classic_roots_rock_re-energize_118_bpm_2_1.mp3
108	An Embrace in The Night, Instrumental Classic Roots Rock, Re-Energize, 118 BPM	Unknown Artist	Rock	An Embrace in The Night, Instrumental Classic Roots Rock, Re-Energize, 118 BPM.mp3
109	Contemplations of the Universe #53	An Enchanted Fresco; World	Classical	an_enchanted_fresco_world_-_classical_focus_remix_1.mp3
110	Contemplations of the Universe #54	An Enchanted Fresco; World	Classical	an_enchanted_fresco_world_-_classical_focus_remix_4.mp3
111	Angular, Rock, instrumental, 1970s, Re-Energize (1)	Unknown Artist	Rock	Angular, Rock, instrumental, 1970s, Re-Energize.mp3
112	Angular, Rock, instrumental, 1970s, Re-Energize	Unknown Artist	Rock	angular_rock_instrumental_1970s_re-energize.mp3
114	Annotation, Rock, instrumental, 1970s, Re-Energize (1) (1)	Unknown Artist	Rock	annotation_rock_instrumental_1970s_re-energize_1_1.mp3
115	Annotation, Rock, instrumental, 1970s, Re-Energize (1)	Unknown Artist	Rock	Annotation, Rock, instrumental, 1970s, Re-Energize.mp3
116	Annotation, Rock, instrumental, 1970s, Re-Energize	Unknown Artist	Rock	annotation_rock_instrumental_1970s_re-energize.mp3
117	Annotation Works Cited, Rock, instrumental, 1970s, Re-Energize	Unknown Artist	Rock	Annotation Works Cited, Rock, instrumental, 1970s, Re-Energize.mp3
118	Contemplations of the Universe #55	Unknown Artist	Rock	Annotation Works Cited, Rock, instrumental, 1970s, Re-Energize (Remix).mp3
119	Contemplations of the Universe #56	Unknown Artist	Classical	Answering the Muse, Classical, Sleep (Remix).mp3
120	Contemplations of the Universe #57	Unknown Artist	Rock	anticipatory joy, Rock, instrumental, 1970s, Re-Energize (Remix).mp3
121	Contemplations of the Universe #58	Unknown Artist	Rock	anticipatory_joy_rock_instrumental_1970s_re-energize_remix.mp3
122	Contemplations of the Universe #59	Unknown Artist	Alternative	arctic_kitties_alternative_128_bpm_hiit_re-energize_remix_1.mp3
123	Contemplations of the Universe #60	Unknown Artist	Alternative	arctic_kitties_alternative_128_bpm_hiit_re-energize_remix_2.mp3
124	Arctic Kitties Do Nature, 2, Indie Pop, 2020s, Re-Energize, HIIT (1)	Unknown Artist	Pop	arctic_kitties_do_nature_2_indie_pop_2020s_re-energize_hiit_1.mp3
125	Arctic Kitties Do Nature, Indie Pop, 2020s, Re-Energize, HIIT (1)	Unknown Artist	Pop	arctic_kitties_do_nature_indie_pop_2020s_re-energize_hiit_1.mp3
126	Arctic Kitties Do Nature, Indie Pop, 2020s, Re-Energize, HIIT (2)	Unknown Artist	Pop	arctic_kitties_do_nature_indie_pop_2020s_re-energize_hiit_2.mp3
127	Arctic Kitties Do Nature, Indie Pop, 2020s, Re-Energize, HIIT (3)	Unknown Artist	Pop	arctic_kitties_do_nature_indie_pop_2020s_re-energize_hiit_3.mp3
128	Arctic Kitties Do Nature, Indie Pop, 2020s, Re-Energize, HIIT (4)	Unknown Artist	Pop	arctic_kitties_do_nature_indie_pop_2020s_re-energize_hiit_4.mp3
129	Arctic Kitties Do Nature, Indie Pop, 2020s, Re-Energize, HIIT	Unknown Artist	Pop	Arctic Kitties Do Nature, Indie Pop, 2020s, Re-Energize, HIIT.mp3
130	Arctic Kitties In Nature, Indie Pop, 2020s, Re-Energize, HIIT	Unknown Artist	Pop	Arctic Kitties In Nature, Indie Pop, 2020s, Re-Energize, HIIT.mp3
131	Are You Gonna Clean That, Rock, instrumental, 1970s, FOCUS, Re-Energize (1)	Unknown Artist	Rock	are_you_gonna_clean_that_rock_instrumental_1970s_focus_re-energize_1.mp3
132	Are You Gonna Clean That, Rock, instrumental, 1970s, FOCUS, Re-Energize	Unknown Artist	Rock	Are You Gonna Clean That, Rock, instrumental, 1970s, FOCUS, Re-Energize.mp3
133	Contemplations of the Universe #61	Unknown Artist	Rock	artic_kitten_alternative_rock_2010s_hiit_re-energize_remix_1.mp3
134	Contemplations of the Universe #62	Unknown Artist	Rock	artic_kitten_alternative_rock_2010s_hiit_re-energize_remix.mp3
135	Contemplations of the Universe #63	Unknown Artist	Indie	artic_kitten_babe_indie_2020s_hiit_re-energize_remix_1.mp3
136	Contemplations of the Universe #64	Unknown Artist	Indie	artic_kitten_babe_indie_2020s_hiit_re-energize_remix.mp3
137	Contemplations of the Universe #65	Unknown Artist	Rock	artic_kitties_2_alternative_rock_2010s_hiit_re-energize_remix_1.mp3
138	Contemplations of the Universe #66	Unknown Artist	Rock	artic_kitties_2_alternative_rock_2010s_hiit_re-energize_remix.mp3
139	Contemplations of the Universe #67	Unknown Artist	Rock	artic_kitties_4_alternative_rock_2010s_hiit_re-energize_remix_1.mp3
140	Contemplations of the Universe #68	Unknown Artist	Rock	artic_kitties_4_alternative_rock_2010s_hiit_re-energize_remix_2.mp3
141	Contemplations of the Universe #69	Unknown Artist	Rock	artic_kitties_alternative_rock_2010s_hiit_re-energize_remix_1_1.mp3
142	Contemplations of the Universe #70	Unknown Artist	Rock	artic_kitties_alternative_rock_2010s_hiit_re-energize_remix_1.mp3
